Room_Number;Loop_Index;Segment_Type;StartX;StartY;EndX;EndY;Length
B1-103;0;Line;-22583.43;75450.92;-22583.43;69605.92;5845.00
B1-103;0;Line;-22583.43;69605.92;-21745.02;69605.92;838.40
B1-103;0;Line;-21745.02;69605.92;-21583.43;69605.92;161.60
B1-103;0;Line;-21583.43;69605.92;-18158.43;69605.92;3425.00
B1-103;0;Line;-18158.43;69605.92;-18158.43;74505.92;4900.00
B1-103;0;Line;-18158.43;74505.92;-18768.43;74505.92;610.00
B1-103;0;Line;-18768.43;74505.92;-18768.43;75320.92;815.00
B1-103;0;Line;-18768.43;75320.92;-18768.43;75450.92;130.00
B1-103;0;Line;-18768.43;75450.92;-22583.43;75450.92;3815.00
B1-112;0;Line;-17938.43;75320.92;-17938.43;74513.42;807.50
B1-112;0;Line;-17938.43;74513.42;-17938.43;69605.92;4907.50
B1-112;0;Line;-17938.43;69605.92;-16338.43;69605.92;1600.00
B1-112;0;Line;-16338.43;69605.92;-16338.43;72155.92;2550.00
B1-112;0;Line;-16338.43;72155.92;-16338.43;72453.42;297.50
B1-112;0;Line;-16338.43;72453.42;-16338.43;75450.92;2997.50
B1-112;0;Line;-16338.43;75450.92;-16373.43;75450.92;35.00
B1-112;0;Line;-16373.43;75450.92;-17383.43;75450.92;1010.00
B1-112;0;Line;-17383.43;75450.92;-17938.43;75450.92;555.00
B1-112;0;Line;-17938.43;75450.92;-17938.43;75320.92;130.00
1.WC1;0;Line;-9878.43;73865.92;-9878.43;73855.92;10.00
1.WC1;0;Line;-9878.43;73855.92;-8828.43;73855.92;1050.00
1.WC1;0;Line;-8828.43;73855.92;-8828.43;75440.92;1585.00
1.WC1;0;Line;-8828.43;75440.92;-16108.43;75440.92;7280.00
1.WC1;0;Line;-16108.43;75440.92;-16108.43;72515.92;2925.00
1.WC1;0;Line;-16108.43;72515.92;-13318.43;72515.92;2790.00
1.WC1;0;Line;-13318.43;72515.92;-13318.43;73975.92;1460.00
1.WC1;0;Line;-13318.43;73975.92;-13178.43;73975.92;140.00
