Room_Number;Loop_Index;Segment_Type;StartX;StartY;EndX;EndY;Length
B1-232;0;Line;-27988.43;75320.92;-27988.43;74505.92;815.00
B1-232;0;Line;-27988.43;74505.92;-28803.43;74505.92;815.00
B1-232;0;Line;-28803.43;74505.92;-28933.43;74505.92;130.00
B1-232;0;Line;-28933.43;74505.92;-28933.43;68635.92;5870.00
B1-232;0;Line;-28933.43;68635.92;-28803.43;68635.92;130.00
B1-232;0;Line;-28803.43;68635.92;-27988.43;68635.92;815.00
B1-232;0;Line;-27988.43;68635.92;-27988.43;68025.92;610.00
B1-232;0;Line;-27988.43;68025.92;-18768.43;68025.92;9220.00
B1-232;0;Line;-18768.43;68025.92;-18768.43;68635.92;610.00
B1-232;0;Line;-18768.43;68635.92;-18158.43;68635.92;610.00
B1-232;0;Line;-18158.43;68635.92;-18158.43;69495.92;860.00
B1-232;0;Line;-18158.43;69495.92;-18158.43;69503.42;7.50
B1-232;0;Line;-18158.43;69503.42;-18158.43;74505.92;5002.50
B1-232;0;Line;-18158.43;74505.92;-18768.43;74505.92;610.00
B1-232;0;Line;-18768.43;74505.92;-18768.43;75320.92;815.00
B1-232;0;Line;-18768.43;75320.92;-18768.43;75450.92;130.00
B1-232;0;Line;-18768.43;75450.92;-27988.43;75450.92;9220.00
B1-232;0;Line;-27988.43;75450.92;-27988.43;75320.92;130.00
2.CR9;0;Line;-15548.43;67085.92;-10218.43;67085.92;5330.00
2.CR9;0;Line;-10218.43;67085.92;-10218.43;69385.92;2300.00
2.CR9;0;Line;-10218.43;69385.92;-10418.43;69385.92;200.00
2.CR9;0;Line;-10418.43;69385.92;-16131.83;69385.92;5713.40
2.CR9;0;Line;-16131.83;69385.92;-16235.93;69385.92;104.10
2.CR9;0;Line;-16235.93;69385.92;-17823.43;69385.92;1587.50
2.CR9;0;Line;-17823.43;69385.92;-17838.43;69385.92;15.00
2.CR9;0;Line;-17838.43;69385.92;-17838.43;68628.42;757.50
2.CR9;0;Line;-17838.43;68628.42;-17838.43;68620.92;7.50
