Room_Number;Loop_Index;Segment_Type;StartX;StartY;EndX;EndY;Length
B1-420;0;Line;-28933.43;74505.92;-28933.43;68635.92;5870.00
B1-420;0;Line;-28933.43;68635.92;-28803.43;68635.92;130.00
B1-420;0;Line;-28803.43;68635.92;-27988.43;68635.92;815.00
B1-420;0;Line;-27988.43;68635.92;-27988.43;68025.92;610.00
B1-420;0;Line;-27988.43;68025.92;-18768.43;68025.92;9220.00
B1-420;0;Line;-18768.43;68025.92;-18768.43;68635.92;610.00
B1-420;0;Line;-18768.43;68635.92;-18158.43;68635.92;610.00
B1-420;0;Line;-18158.43;68635.92;-18158.43;69400.92;765.00
B1-420;0;Line;-18158.43;69400.92;-18158.43;69503.42;102.50
B1-420;0;Line;-18158.43;69503.42;-18158.43;74505.92;5002.50
B1-420;0;Line;-18158.43;74505.92;-18768.43;74505.92;610.00
B1-420;0;Line;-18768.43;74505.92;-18768.43;75320.92;815.00
B1-420;0;Line;-18768.43;75320.92;-18768.43;75450.92;130.00
B1-420;0;Line;-18768.43;75450.92;-27988.43;75450.92;9220.00
B1-420;0;Line;-27988.43;75450.92;-27988.43;75320.92;130.00
B1-420;0;Line;-27988.43;75320.92;-27988.43;74505.92;815.00
B1-420;0;Line;-27988.43;74505.92;-28803.43;74505.92;815.00
B1-420;0;Line;-28803.43;74505.92;-28933.43;74505.92;130.00
B1-416;0;Line;-21080.02;64650.92;-28933.43;64650.92;7853.40
B1-416;0;Line;-28933.43;64650.92;-28933.43;61935.92;2715.00
B1-416;0;Line;-28933.43;61935.92;-28803.43;61935.92;130.00
B1-416;0;Line;-28803.43;61935.92;-27988.43;61935.92;815.00
B1-416;0;Line;-27988.43;61935.92;-27988.43;61105.92;830.00
B1-416;0;Line;-27988.43;61105.92;-28803.43;61105.92;815.00
B1-416;0;Line;-28803.43;61105.92;-28933.43;61105.92;130.00
B1-416;0;Line;-28933.43;61105.92;-28933.43;55235.92;5870.00
B1-416;0;Line;-28933.43;55235.92;-28803.43;55235.92;130.00
B1-416;0;Line;-28803.43;55235.92;-27988.43;55235.92;815.00
B1-416;0;Line;-27988.43;55235.92;-27988.43;54405.92;830.00
B1-416;0;Line;-27988.43;54405.92;-28803.43;54405.92;815.00
B1-416;0;Line;-28803.43;54405.92;-28933.43;54405.92;130.00
B1-416;0;Line;-28933.43;54405.92;-28933.43;51600.92;2805.00
B1-416;0;Line;-28933.43;51600.92;-19433.22;51600.92;9500.21
B1-416;0;Line;-19433.22;51600.92;-19433.22;52449.32;848.40
B1-416;0;Line;-19433.22;52449.32;-19433.22;52552.51;103.19
B1-416;0;Line;-19433.22;52552.51;-19433.22;54233.70;1681.18
B1-416;0;Line;-19433.22;54233.70;-19433.22;54336.89;103.19
B1-416;0;Line;-19433.22;54336.89;-19433.22;58464.32;4127.43
B1-416;0;Line;-19433.22;58464.32;-19433.22;58567.51;103.19
B1-416;0;Line;-19433.22;58567.51;-19433.22;59829.32;1261.81
B1-416;0;Line;-19433.22;59829.32;-19433.22;59932.51;103.19
B1-416;0;Line;-19433.22;59932.51;-19433.22;61934.32;2001.81
B1-416;0;Line;-19433.22;61934.32;-19433.22;62037.51;103.19
B1-416;0;Line;-19433.22;62037.51;-19433.22;63734.32;1696.81
B1-416;0;Line;-19433.22;63734.32;-19433.22;63837.51;103.19
B1-416;0;Line;-19433.22;63837.51;-19433.22;64650.92;813.40
