Room_Number;Loop_Index;Segment_Type;StartX;StartY;EndX;EndY;Length
B5-303;0;Line;21177.29;77028.98;11957.29;77028.98;9220.00
B5-303;0;Line;11957.29;77028.98;11957.29;76898.98;130.00
B5-303;0;Line;11957.29;76898.98;11957.29;76083.98;815.00
B5-303;0;Line;11957.29;76083.98;11347.29;76083.98;610.00
B5-303;0;Line;11347.29;76083.98;11347.29;71183.98;4900.00
B5-303;0;Line;11347.29;71183.98;11950.70;71183.98;603.40
B5-303;0;Line;11950.70;71183.98;12057.29;71183.98;106.60
B5-303;0;Line;12057.29;71183.98;12058.89;71183.98;1.60
B5-303;0;Line;12058.89;71183.98;22122.28;71183.98;10063.39
B5-303;0;Line;22122.28;71183.98;22122.28;76083.98;4900.01
B5-303;0;Line;22122.28;76083.98;21992.29;76083.98;129.99
B5-303;0;Line;21992.29;76083.98;21177.29;76083.98;815.00
B5-303;0;Line;21177.29;76083.98;21177.29;76898.98;815.00
B5-303;0;Line;21177.29;76898.98;21177.29;77028.98;130.00
B5-304A;0;Line;22122.28;70213.98;22122.28;70963.98;749.99
B5-304A;0;Line;22122.28;70963.98;12057.29;70963.98;10064.99
B5-304A;0;Line;12057.29;70963.98;12057.29;70798.98;164.99
B5-304A;0;Line;12057.29;70798.98;12057.29;69783.98;1015.00
B5-304A;0;Line;12057.29;69783.98;11542.29;69783.98;515.00
B5-304A;0;Line;11542.29;69783.98;11542.29;63513.98;6270.00
B5-304A;0;Line;11542.29;63513.98;11957.29;63513.98;415.00
B5-304A;0;Line;11957.29;63513.98;11957.29;63098.98;415.00
B5-304A;0;Line;11957.29;63098.98;20277.28;63098.98;8319.99
B5-304A;0;Line;20277.28;63098.98;20277.28;63563.98;465.00
B5-304A;0;Line;20277.28;63563.98;22122.28;63563.98;1845.00
B5-304A;0;Line;22122.28;63563.98;22122.28;69383.98;5820.00
B5-304A;0;Line;22122.28;69383.98;21992.29;69383.98;129.99
B5-304A;0;Line;21992.29;69383.98;21177.29;69383.98;815.00
